2023	04	03	21:58:14	a9af276d-7983-4f15-b980-8e750eb3bf3d	/data/data.txt	GET
2023	04	03	21:58:18	3e69ce87-67d5-4f15-ad7a-35d2c20c6bbb	/data/data.txt	GET
2023	04	03	21:58:19	35c5c16f-7c98-4bd7-a903-a51a4cfb7ce7	/data/data.json	GET
2023	04	03	21:58:30	06f382d7-4c1e-4fa9-bfe4-8c688e6f3913	/old	GET
2023	04	03	21:58:30	fcde38a5-bb83-413f-a799-40c57980bacc	/css/style.css	GET
2023	04	08	19:14:22	2fba4425-db4b-4066-bf96-aec4cd84aa6e	GET	undefined	/
2023	04	08	19:14:22	8cf40663-c7cb-403f-bed9-7b85128f2fec	GET	undefined	/css/style.css
2023	04	08	19:19:54	c0acb050-b52e-4067-907b-5c6f10247ba4	GET	undefined	/
2023	04	08	19:19:54	38dc6ac1-bf24-4736-8972-4568565333d7	GET	undefined	/css/style.css
2023	04	08	20:26:16	df1eccff-6ce5-45a3-a8a3-02e966da8c4b	OPTIONS	https://www.google.com	/
2023	04	08	20:26:16	d0fb76cf-4131-46c8-bbb6-e04dc1820d9d	GET	https://www.google.com	/
2023	04	08	20:29:29	42ce56a7-723c-49af-ad17-f64034976237	OPTIONS	https://www.google.com	/
2023	04	08	20:29:29	a69f27da-7282-4e49-974e-5c9a0f27696a	GET	https://www.google.com	/
2023	04	08	20:31:17	91758acd-1604-4c05-a76a-85b4037df2c8	OPTIONS	https://www.google.com	/
2023	04	08	20:31:17	f5f3e15c-4e04-4fd3-8efd-5a8977cc0e90	GET	https://www.google.com	/
2023	04	08	20:40:37	4b486884-929a-4f41-b8ca-9134c3e4a41f	OPTIONS	https://www.google.com	/
2023	04	08	20:40:37	db8715af-0038-436c-b958-3cb862cc7a3a	GET	https://www.google.com	/
2023	04	08	20:41:12	93bb142a-c0f7-4066-8e6f-1940efc924e1	OPTIONS	https://www.google.com	/
2023	04	08	20:41:12	44cc18b2-bb6f-434d-8fcb-234012ba5986	GET	https://www.google.com	/
2023	04	08	21:02:20	5f61d8c4-4b1b-4852-bfe6-8c21a5b2d234	OPTIONS	https://www.google.com	/
2023	04	08	21:02:20	1a544a32-e443-40e9-aafc-e96d2c9468d5	GET	https://www.google.com	/
2023	04	08	21:06:03	164f145a-05e1-4b61-a6b9-19d8a372bd41	GET	undefined	/
2023	04	08	21:06:03	04a99bef-1ec5-40d1-90f2-557b04212639	GET	undefined	/favicon.ico
2023	04	08	21:16:17	396acf02-c5b3-43ce-b3f0-5fe7a75d38a2	GET	undefined	/
2023	04	08	21:16:17	204352c8-f456-4451-85a7-e3b03d00627e	GET	undefined	/css/style.css
2023	04	08	21:16:17	40197579-2a49-4ccc-900e-6856424551ca	GET	undefined	/favicon.ico
2023	04	08	21:16:49	70c44de0-ff1a-4e52-a392-d0452579e8bb	GET	undefined	/
2023	04	08	21:16:49	c36b1643-7d87-47e2-83e0-81b9867ab75b	GET	undefined	/css/style.css
2023	04	08	21:17:24	b684a91d-894e-492b-af62-6a24df12b199	GET	undefined	/
2023	04	08	21:20:35	82b2a5f6-f1aa-4430-ae23-cadf2f4cca02	GET	undefined	/
2023	04	08	21:20:35	ba21bf3d-4915-40f2-925b-d0e2f7e00b89	GET	undefined	/css/style.css
2023	04	08	21:20:35	abe062a1-c8e1-43b6-9f54-9298a302292b	GET	undefined	/chain
2023	04	08	21:20:38	b6081136-af86-43c8-b7af-e496aa0aed0e	GET	undefined	/cheron
2023	04	08	21:20:38	228b68de-5844-4c12-a947-091543e3cd83	GET	undefined	/css/style.css
2023	04	09	14:25:54	38cf89ad-446f-47f0-9bb4-4a6921c3a370	GET	undefined	/
2023	04	09	14:25:54	413a326c-9346-44af-a411-56fa207b9e98	GET	undefined	/css/style.css
2023	04	09	14:25:54	b342f836-69b0-45e6-9a62-fbfc67b01610	GET	undefined	/favicon.ico
2023	04	09	14:26:00	b1bf8b65-93a5-4448-ad3d-0ad9c7acf9a6	GET	undefined	/subdir
2023	04	09	14:26:07	8be100c0-a978-4238-bcc3-8ccf66864e50	GET	undefined	/subdir/test
2023	04	09	14:26:42	012ea9ff-f58b-41f6-85b5-8ac6bf002bb7	GET	undefined	/subdir/test
2023	04	09	14:27:38	fa0dd087-90a6-4aef-9582-f622b34e953b	GET	undefined	/subdir/testi
2023	04	09	14:27:38	e3a9045c-b92d-4a6d-ba15-e1a08c89b729	GET	undefined	/subdir/css/style.css
2023	04	09	14:29:24	7f2a7db1-e0c9-43c8-8c90-5e89ebff7c41	GET	undefined	/subdir/testi
2023	04	09	14:29:24	98b4a30f-4aeb-4abd-a569-f190d2f85968	GET	undefined	/subdir/css/style.css
2023	04	09	14:31:37	72e03e02-e1df-4a3d-a0a8-9aca649697ce	GET	undefined	/subdir/testi
2023	04	09	14:31:37	62106de3-be3d-4181-94b5-4cf273e6617b	GET	undefined	/subdir/css/style.css
2023	04	09	14:31:38	8abc9070-3dd0-4894-8ab1-fad61ed81d51	GET	undefined	/subdir/testi
2023	04	09	14:31:38	d89baeb7-c47a-4b60-96ef-352b02c29131	GET	undefined	/subdir/css/style.css
2023	04	09	14:31:47	b586ed33-4750-41a5-bbd3-259f85458f04	GET	undefined	/subdir/testi
2023	04	09	14:31:47	816a7ee6-8275-44a8-a94e-53841dc2824d	GET	undefined	/subdir/css/style.css
2023	04	09	14:33:03	e38eaa58-eb20-4be8-ae18-b5af323f01c4	GET	undefined	/subdir/testi
2023	04	09	14:33:03	6ddcfde9-429d-4495-94cf-7d0b729d82d7	GET	undefined	/subdir/css/style.css
2023	04	09	14:35:01	0f8dbdb4-92c6-4160-846a-506433b7d92b	GET	undefined	/subdir/testi
2023	04	09	14:35:01	e00bbfe5-6ae7-41bb-974a-52f9659931e4	GET	undefined	/subdir/css/style.css
2023	04	09	14:35:07	64f63e09-7f50-4f6a-9402-458c38101976	GET	undefined	/subdir/testi
2023	04	09	14:35:07	6fe7b48e-2b73-430f-a0e5-fd3a88968659	GET	undefined	/subdir/css/style.css
2023	04	09	14:38:04	4ddca32c-e37d-4c29-8404-a88f171f4eb0	GET	undefined	/index
2023	04	09	14:38:04	92579990-18c4-401a-bee9-678523c71e53	GET	undefined	/css/style.css
2023	04	09	14:38:10	89552ea3-d956-49c2-8730-1323bdfcc64b	GET	undefined	/index.html
2023	04	09	14:38:10	d2f9a6e5-8732-4e72-81e0-ff9dae229aa5	GET	undefined	/css/style.css
2023	04	09	14:39:08	15797243-66c6-4053-b247-4065dfb9c9a5	GET	undefined	/root
2023	04	09	14:39:08	650f3d1b-a8ee-4102-9068-6b643900143d	GET	undefined	/root/
